card_id,disp_id,type,year_,month_,day_,date_,fulldate
V00001005,D00009285,VISA Signature,2013,11,7,2013-11-07,2013-11-07
V00000104,D00000588,VISA Signature,2014,1,19,2014-01-19,2014-01-19
V00000747,D00004915,VISA Signature,2014,2,5,2014-02-05,2014-02-05
V00000070,D00000439,VISA Signature,2014,2,8,2014-02-08,2014-02-08
V00000577,D00003687,VISA Signature,2014,2,15,2014-02-15,2014-02-15
V00000377,D00002429,VISA Signature,2014,3,3,2014-03-03,2014-03-03
V00000721,D00004680,VISA Standard,2014,4,5,2014-04-05,2014-04-05
V00000437,D00002762,VISA Signature,2014,6,1,2014-06-01,2014-06-01
V00000188,D00001146,VISA Signature,2014,6,19,2014-06-19,2014-06-19
V00000013,D00000087,VISA Signature,2014,6,29,2014-06-29,2014-06-29
V00000732,D00004763,VISA Signature,2014,7,21,2014-07-21,2014-07-21
V00000181,D00001066,VISA Signature,2014,8,19,2014-08-19,2014-08-19
V00000384,D00002475,VISA Standard,2014,9,15,2014-09-15,2014-09-15
V00000309,D00001946,VISA Signature,2014,9,19,2014-09-19,2014-09-19
V00000478,D00003084,VISA Signature,2014,10,9,2014-10-09,2014-10-09
V00000563,D00003589,VISA Signature,2014,10,21,2014-10-21,2014-10-21
V00000369,D00002363,VISA Signature,2014,11,8,2014-11-08,2014-11-08
V00000376,D00002428,VISA Signature,2014,11,10,2014-11-10,2014-11-10
V00000483,D00003115,VISA Signature,2014,11,24,2014-11-24,2014-11-24
V00000174,D00001039,VISA Standard,2014,12,4,2014-12-04,2014-12-04
V00000658,D00004251,VISA Signature,2014,12,25,2014-12-25,2014-12-25
V00000763,D00005138,VISA Standard,2014,12,30,2014-12-30,2014-12-30
V00000778,D00005275,VISA Signature,2015,1,2,2015-01-02,2015-01-02
V00001039,D00009837,VISA Signature,2015,1,7,2015-01-07,2015-01-07
V00000477,D00003082,VISA Standard,2015,1,16,2015-01-16,2015-01-16
V00000168,D00001018,VISA Signature,2015,1,24,2015-01-24,2015-01-24
V00000314,D00001999,VISA Standard,2015,1,27,2015-01-27,2015-01-27
V00000468,D00003023,VISA Signature,2015,1,30,2015-01-30,2015-01-30
V00000208,D00001246,VISA Infinite,2015,2,8,2015-02-08,2015-02-08
V00000766,D00005200,VISA Signature,2015,2,11,2015-02-11,2015-02-11
V00000464,D00002984,VISA Signature,2015,2,21,2015-02-21,2015-02-21
V00000497,D00003184,VISA Signature,2015,3,3,2015-03-03,2015-03-03
V00000166,D00000999,VISA Signature,2015,3,5,2015-03-05,2015-03-05
V00000015,D00000114,VISA Signature,2015,3,5,2015-03-05,2015-03-05
V00000503,D00003225,VISA Signature,2015,3,8,2015-03-08,2015-03-08
V00001038,D00009787,VISA Standard,2015,3,30,2015-03-30,2015-03-30
V00000737,D00004791,VISA Signature,2015,4,13,2015-04-13,2015-04-13
V00000418,D00002623,VISA Signature,2015,4,14,2015-04-14,2015-04-14
V00000759,D00005117,VISA Standard,2015,4,18,2015-04-18,2015-04-18
V00000223,D00001353,VISA Signature,2015,4,18,2015-04-18,2015-04-18
V00000005,D00000051,VISA Standard,2015,4,24,2015-04-24,2015-04-24
V00000159,D00000946,VISA Signature,2015,5,1,2015-05-01,2015-05-01
V00001223,D00013231,VISA Standard,2015,5,2,2015-05-02,2015-05-02
V00000662,D00004293,VISA Signature,2015,5,9,2015-05-09,2015-05-09
V00000779,D00005323,VISA Standard,2015,5,21,2015-05-21,2015-05-21
V00001040,D00009890,VISA Standard,2015,5,28,2015-05-28,2015-05-28
V00000545,D00003458,VISA Signature,2015,5,30,2015-05-30,2015-05-30
V00000467,D00003019,VISA Signature,2015,6,5,2015-06-05,2015-06-05
V00001247,D00013660,VISA Signature,2015,6,13,2015-06-13,2015-06-13
V00000652,D00004211,VISA Signature,2015,6,16,2015-06-16,2015-06-16
V00000559,D00003573,VISA Signature,2015,6,17,2015-06-17,2015-06-17
V00000719,D00004663,VISA Signature,2015,6,24,2015-06-24,2015-06-24
V00000397,D00002513,VISA Signature,2015,6,24,2015-06-24,2015-06-24
V00000107,D00000593,VISA Signature,2015,6,27,2015-06-27,2015-06-27
V00000661,D00004270,VISA Signature,2015,7,3,2015-07-03,2015-07-03
V00000484,D00003116,VISA Signature,2015,7,4,2015-07-04,2015-07-04
V00000501,D00003197,VISA Signature,2015,7,9,2015-07-09,2015-07-09
V00000422,D00002650,VISA Standard,2015,7,11,2015-07-11,2015-07-11
V00000705,D00004555,VISA Signature,2015,7,12,2015-07-12,2015-07-12
V00000410,D00002569,VISA Signature,2015,7,20,2015-07-20,2015-07-20
V00000136,D00000778,VISA Signature,2015,7,28,2015-07-28,2015-07-28
V00000592,D00003782,VISA Standard,2015,8,7,2015-08-07,2015-08-07
V00000262,D00001647,VISA Standard,2015,8,24,2015-08-24,2015-08-24
V00000018,D00000128,VISA Signature,2015,8,25,2015-08-25,2015-08-25
V00000003,D00000041,VISA Infinite,2015,9,3,2015-09-03,2015-09-03
V00000098,D00000537,VISA Signature,2015,9,6,2015-09-06,2015-09-06
V00000167,D00001011,VISA Signature,2015,9,15,2015-09-15,2015-09-15
V00000097,D00000531,VISA Standard,2015,9,19,2015-09-19,2015-09-19
