order_id,account_id,bank_to,account_to,amount,k_symbol
29401,A00000001,YZ,87144583,2452.0,Household Payment
29402,A00000002,ST,89597016,3372.7,Loan Payment
29403,A00000002,QR,13943797,7266.0,Household Payment
29404,A00000003,WX,83084338,1135.0,Household Payment
29405,A00000003,CD,24485939,327.0,
29406,A00000003,AB,59972357,3539.0,Insurance Payment
29407,A00000004,UV,26693541,2078.0,Household Payment
29408,A00000004,UV,5848086,1285.0,Household Payment
29409,A00000005,GH,37390208,2668.0,Household Payment
29410,A00000006,AB,44486999,3954.0,Household Payment
29411,A00000007,IJ,34452903,4880.0,Household Payment
29412,A00000008,UV,12510681,2612.0,Household Payment
29413,A00000008,IJ,93210345,6712.0,
29414,A00000010,UV,18686104,7033.0,Household Payment
29415,A00000010,QR,93182509,1344.0,Leasing Payment
29433,A00000025,AB,79838293,1110.0,
29434,A00000025,WX,52864879,164.0,Insurance Payment
29435,A00000026,EF,12891853,10387.0,Household Payment
29436,A00000027,CD,28175699,4054.0,Household Payment
29439,A00000029,ST,32924878,6871.0,Household Payment
29440,A00000029,MN,93088209,829.0,
29441,A00000029,UV,41335338,8.0,Insurance Payment
29442,A00000030,EF,66168540,2480.2,Leasing Payment
29443,A00000031,ST,42430687,10202.0,Household Payment
29444,A00000033,KL,33047658,3892.0,Household Payment
29445,A00000034,WX,21845197,1479.0,Leasing Payment
29446,A00000034,GH,19993174,502.0,Household Payment
29447,A00000034,IJ,58999049,6070.0,
29448,A00000035,MN,56788617,1022.0,Household Payment
29449,A00000035,MN,99848401,1362.0,Household Payment
29450,A00000036,CD,80693810,4069.0,Household Payment
29451,A00000037,QR,71644407,5307.5,Loan Payment
29452,A00000037,IJ,29728555,2317.0,Household Payment
29453,A00000037,OP,23782724,2584.0,
29454,A00000037,YZ,89609831,97.0,Insurance Payment
29455,A00000038,QR,79067885,2306.8,Loan Payment
29456,A00000038,EF,2692229,6901.0,Household Payment
29457,A00000038,KL,83435654,231.0,
29458,A00000038,OP,64685678,228.0,Insurance Payment
29459,A00000039,CD,77015351,145.0,Household Payment
29460,A00000039,WX,949460,2970.0,Household Payment
29461,A00000040,ST,31161588,33.0,Household Payment
29462,A00000040,MN,96111678,4301.0,
29463,A00000042,CD,1007766,4239.0,Household Payment
29464,A00000042,KL,55873340,239.0,
29465,A00000042,YZ,38318204,1592.0,Insurance Payment
29466,A00000043,CD,89718746,6589.0,Household Payment
29416,A00000011,ST,38470870,2132.0,Household Payment
29417,A00000012,CD,23010808,297.0,Household Payment
29418,A00000012,KL,63607060,3295.0,Household Payment
29419,A00000013,EF,35443323,2444.0,Household Payment
29420,A00000014,WX,11793136,3629.0,Household Payment
29421,A00000015,KL,24265569,3072.0,Household Payment
29422,A00000017,EF,15076423,4032.0,Household Payment
29423,A00000019,QR,14132368,2523.2,Loan Payment
29425,A00000020,AB,3399968,2003.0,Household Payment
29426,A00000021,YZ,60152441,6276.0,Household Payment
29427,A00000022,ST,34691494,6352.0,Household Payment
29428,A00000023,MN,20774019,5807.0,Household Payment
29429,A00000024,IJ,50810194,221.0,Household Payment
29430,A00000024,QR,46086388,7641.0,
29431,A00000025,YZ,1301700,2523.2,Loan Payment
29432,A00000025,IJ,4896235,6817.0,Household Payment
29467,A00000044,GH,11344862,2344.0,Household Payment
29470,A00000047,KL,76620852,6940.0,Household Payment
29471,A00000047,KL,37438374,174.0,
29472,A00000047,EF,83359431,141.0,Insurance Payment
29473,A00000047,UV,30289006,9.0,
29474,A00000048,AB,50218236,6268.0,Household Payment
29475,A00000048,ST,2071685,1029.0,
29476,A00000049,CD,83233099,3102.0,Household Payment
29477,A00000050,WX,75148117,269.0,Household Payment
29478,A00000050,UV,17270559,7024.0,
29479,A00000051,KL,71050131,2074.0,Household Payment
29480,A00000051,KL,74449389,2057.0,
29481,A00000052,EF,6008005,560.0,Household Payment
29482,A00000052,QR,85721850,3723.0,
29483,A00000053,MN,81024360,2851.0,Household Payment
29484,A00000054,IJ,90659772,2280.0,Household Payment
29485,A00000055,EF,53077900,3086.0,Household Payment
29486,A00000056,KL,73539948,8080.0,Household Payment
29487,A00000057,YZ,55066728,4107.0,Household Payment
29489,A00000059,IJ,38201576,695.0,Household Payment
29490,A00000059,ST,65394794,6190.0,
29493,A00000061,EF,20533621,1645.0,Household Payment
29494,A00000061,IJ,20426410,668.0,Household Payment
29495,A00000062,EF,80010622,2273.0,Household Payment
29496,A00000063,CD,85474604,2237.0,Household Payment
29497,A00000063,EF,8346772,157.0,Household Payment
29498,A00000065,YZ,74934333,686.0,Household Payment
29499,A00000065,CD,20976132,3315.0,
29500,A00000065,GH,7764506,3401.0,Insurance Payment
29501,A00000066,GH,17993182,4471.3,Leasing Payment
29502,A00000067,YZ,45128363,6915.0,Loan Payment
29503,A00000067,YZ,57342255,6393.0,Household Payment
29504,A00000067,UV,59079301,445.0,
29505,A00000068,WX,86834001,1705.0,Household Payment
29506,A00000068,IJ,8292192,1186.0,
29507,A00000068,ST,34692824,137.0,Insurance Payment
29508,A00000068,MN,92248808,61.0,
29509,A00000070,KL,7699788,4150.0,Household Payment
29510,A00000071,YZ,53903484,968.0,Household Payment
29511,A00000071,IJ,11544728,1602.0,
29512,A00000071,OP,9098768,1011.0,Insurance Payment
29513,A00000071,QR,34794885,778.0,
29514,A00000072,OP,43079012,2923.0,Leasing Payment
29515,A00000072,EF,69338589,7109.0,Household Payment
29516,A00000072,ST,8297068,2286.0,
29517,A00000073,CD,67077487,6061.0,Household Payment
29522,A00000075,IJ,74818038,3369.0,Household Payment
