C_CUSTKEY,C_NAME,C_ADDRESS,C_CITY,C_NATION,C_REGION,C_PHONE,C_MKTSEGMENT
1,Customer#000000001,j5JsirBM9P,MOROCCO  4,MOROCCO,AFRICA,25-214-662-5265,BUILDING
2,Customer#000000002,487LW1dovn6Q4dMVym,JORDAN   5,JORDAN,MIDDLE EAST,23-159-880-1131,AUTOMOBILE
4,Customer#000000004,4u58h f,EGYPT    6,EGYPT,MIDDLE EAST,14-108-116-4678,MACHINERY
5,Customer#000000005,hwBtxkoBF qSW4KrI,CANADA   2,CANADA,AMERICA,13-360-101-6891,HOUSEHOLD
7,Customer#000000007,8OkMVLQ1dK6Mbu6WG9,CHINA    3,CHINA,ASIA,28-777-614-8279,AUTOMOBILE
8,Customer#000000008,"j,pZ,Qp,qtFEo0r0c 92qo",PERU     4,PERU,AMERICA,27-635-549-7810,BUILDING
10,Customer#000000010,Vf mQ6Ug9Ucf5OKGYq fs,ETHIOPIA 9,ETHIOPIA,AFRICA,15-962-714-9639,HOUSEHOLD
11,Customer#000000011,cG48rYjF3Aw7xs,UNITED KI1,UNITED KINGDOM,EUROPE,33-798-822-8494,BUILDING
13,Customer#000000013,Ez3ax0D5HnUbeU,CANADA   0,CANADA,AMERICA,13-508-328-4599,BUILDING
14,Customer#000000014,h3GFMzeFf,ARGENTINA3,ARGENTINA,AMERICA,11-508-570-5979,FURNITURE
16,Customer#000000016,P2IQMff18er,IRAN     4,IRAN,MIDDLE EAST,20-980-669-6118,FURNITURE
17,Customer#000000017,Js JrVHNAyCYMANzPGzvonS,BRAZIL   4,BRAZIL,AMERICA,12-950-527-2067,AUTOMOBILE
19,Customer#000000019,yO0XPkiuSWk0vN Ffc,CHINA    5,CHINA,ASIA,28-240-967-6638,HOUSEHOLD
20,Customer#000000020,i bGScA,RUSSIA   5,RUSSIA,EUROPE,32-362-873-8653,FURNITURE
22,Customer#000000022,"biUBW,0ldzWGT91Do",CANADA   3,CANADA,AMERICA,13-910-594-2556,MACHINERY
23,Customer#000000023,"dN2r4,XdTpNXcoVfBK",CANADA   1,CANADA,AMERICA,13-376-733-5140,HOUSEHOLD
25,Customer#000000025,kBSktmaKkjm28,JAPAN    4,JAPAN,ASIA,22-670-606-5117,FURNITURE
26,Customer#000000026,TFH OW1Me,RUSSIA   8,RUSSIA,EUROPE,32-558-455-6527,AUTOMOBILE
28,Customer#000000028,"J5tK,OQa07KQSuY",INDIA    6,INDIA,ASIA,18-543-187-2039,FURNITURE
