Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
eb247227-e839-88d3-447d-b5972468f33b,2021-09-23,,999-41-1756,,,,Mel236,Bailey598,,,,white,nonhispanic,M,Norton Center  Massachusetts  US,716 Wunsch Gardens Unit 48,Framingham,Massachusetts,Middlesex County,25017,01701,42.27565048847629,-71.4763670033942,2520.80,4323.64,170754
2ffa361e-5858-877e-e022-ce81fe32da1b,1944-05-31,,999-33-4589,S99957814,X45639058X,Mrs.,Cheyenne169,Marks830,,Lowe577,M,white,nonhispanic,F,Longmeadow  Massachusetts  US,123 Bayer Camp,Taunton,Massachusetts,Bristol County,25005,02718,41.89288420730215,-71.06668598167076,205342.20,94647.00,40526
3dfb065a-67df-5b8a-3901-49bfd834bed1,2009-02-08,,999-59-2568,,,,Hunter736,Keebler762,,,,white,nonhispanic,M,Maynard  Massachusetts  US,575 Jast Rue Unit 48,Winchendon,Massachusetts,Worcester County,25027,01475,42.670059014687666,-72.07466425723803,16381.92,17447.87,79884
db80575b-5e9b-921b-fad9-1e3a20929dc7,1979-06-26,1995-07-04,999-77-7700,S99968506,,,Herschel574,Ernser583,,,,asian,nonhispanic,M,Somerville  Massachusetts  US,184 Langworth Parade Apt 10,Boston,Massachusetts,Suffolk County,25025,02131,42.39551626795498,-71.05901494925675,3850.00,44057.32,6420
d84815a3-c5b3-8ca2-025f-6323a4ec59ef,1973-05-31,,999-29-2359,S99967405,X86891718X,Mrs.,Lacey714,Heathcote539,,Hegmann834,M,white,nonhispanic,F,Natick  Massachusetts  US,801 Morissette Divide,Hingham,Massachusetts,Plymouth County,25023,02043,42.20072325055452,-70.83659045847199,66662.10,1777031.06,933420
7ec76836-c039-d9bf-8bb9-fe488c66d452,2003-01-13,,999-42-9847,S99998925,,Ms.,Adelia946,Collier206,,,,white,nonhispanic,F,Marshfield  Massachusetts  US,459 Larson Union,Boston,Massachusetts,Suffolk County,25025,02134,42.31550631209828,-71.05169551644717,4050.00,158604.59,1361
79297a39-2d2d-d88d-5e47-7a521af1d69f,1998-12-14,,999-49-9846,S99945605,X69843358X,Mr.,Hayden835,Casper496,,,,white,nonhispanic,M,Charlton  Massachusetts  US,589 Conroy Approach,Belmont,Massachusetts,Middlesex County,25017,02472,42.36153882121102,-71.20913616208074,40347.11,180076.32,51861
734e5f3c-e660-6cbe-7c26-c5264cbde68e,2005-03-03,,999-71-8314,S99991875,,,Herb645,Willms744,,,,white,hispanic,M,Melrose  Massachusetts  US,980 Koss Plaza Apt 11,Brockton,Massachusetts,Plymouth County,25023,02302,42.11165412918098,-71.0259065985567,390568.25,0.00,35002
750cdaf4-c264-e967-e76b-53a5a61abcab,1983-02-18,,999-95-3792,S99957390,X63804957X,Mr.,Stewart672,Schimmel440,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,843 Yost Spur Unit 81,Sharon,Massachusetts,Norfolk County,25021,02067,42.10147261542774,-71.2054748347118,7321.10,176776.70,10335
285cba54-c91d-6db4-4d78-1ea35ba6b622,1998-10-30,,999-44-2795,S99942670,X49037240X,Ms.,Jenae263,Becker968,,,,white,nonhispanic,F,Somerville  Massachusetts  US,248 Ernser Terrace Suite 86,Lynn,Massachusetts,Essex County,25009,01901,42.49850442782566,-71.03582388708702,34690.56,626729.36,56421
