date_received,complaint_id,rand_client,phonefinal,vru_line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time
2017-03-27,CR2406263,4587.0,977-806-9726,AA0103,34536.0,0.0,NW,AGENT,MICHAL,13:34:11,13:40:23,00:06:12
2017-03-27,CR2405641,3328.0,322-598-7152,AA0205,34537.0,0.0,PS,AGENT,TOVA,10:58:22,11:16:10,00:17:48
2017-03-27,CR2405629,1685.0,508-311-5237,AA0110,34538.0,2.0,PS,AGENT,YIFAT,13:00:54,13:13:31,00:12:37
2017-03-23,CR2400594,1945.0,265-394-2727,AA0113,34540.0,2.0,PS,AGENT,AVNI,16:18:21,16:19:40,00:01:19
2017-03-22,CR2399607,4303.0,206-008-0460,AA0102,34541.0,1.0,PS,AGENT,STEREN,14:48:22,14:55:19,00:06:57
2017-03-22,CR2398621,10209.0,617-060-9671,AA0203,34542.0,0.0,PS,AGENT,ANAT,09:15:43,09:32:44,00:17:01
2017-03-22,CR2398447,4248.0,617-739-1926,AA0203,34543.0,0.0,PS,AGENT,YIFAT,11:33:16,11:41:36,00:08:20
2017-03-16,CR2391104,375.0,508-906-6051,AA0102,34553.0,2.0,PS,AGENT,TOVA,14:10:43,14:23:31,00:12:48
2017-03-15,CR2388840,2259.0,854-860-5683,AA0204,34554.0,2.0,PS,AGENT,GILI,14:31:14,14:45:46,00:14:32
2017-03-15,CR2388580,3366.0,356-333-5984,AA0201,34555.0,1.0,PS,AGENT,KAZAV,16:22:51,16:38:04,00:15:13
2017-03-14,CR2386079,9987.0,294-459-8475,AA0103,34557.0,2.0,NE,AGENT,KAZAV,11:11:40,11:20:04,00:08:24
2017-03-10,CR2382372,1401.0,124-161-2235,AA0201,34559.0,0.0,PS,AGENT,YITZ,10:33:03,10:34:01,00:00:58
2017-03-09,CR2376980,3545.0,472-217-3837,AA0110,34560.0,2.0,PS,AGENT,DARMON,10:21:54,10:35:22,00:13:28
2017-03-08,CR2377263,4301.0,495-249-7895,AA0215,34561.0,0.0,PS,AGENT,SHLOMO,10:38:34,10:45:56,00:07:22
2017-03-08,CR2378338,4528.0,463-191-1159,AA0215,34562.0,0.0,PS,AGENT,MIKI,16:59:32,17:06:41,00:07:09
2017-03-08,CR2378433,1632.0,847-606-9704,AA0202,34563.0,0.0,PS,AGENT,YIFAT,16:46:17,16:55:11,00:08:54
2017-03-08,CR2378816,3074.0,212-741-2757,AA0101,34564.0,0.0,NW,AGENT,STEREN,09:33:16,09:38:21,00:05:05
2017-03-08,CR2376941,2354.0,212-022-5279,AA0213,34565.0,0.0,PS,AGENT,GILI,13:13:22,13:29:31,00:16:09
2017-03-07,CR2374521,2508.0,909-238-3879,AA0106,34566.0,0.0,PS,AGENT,MIKI,13:00:28,13:11:03,00:10:35
2017-03-07,CR2375008,4113.0,914-751-1865,AA0204,34567.0,0.0,NW,AGENT,MICHAL,10:41:15,11:01:00,00:19:45
2017-03-06,CR2372694,4906.0,386-438-1635,AA0104,34568.0,0.0,PS,AGENT,AVIDAN,11:31:53,11:51:46,00:19:53
2017-03-06,CR2373271,6366.0,817-770-7405,AA0103,34569.0,0.0,PS,AGENT,AVIDAN,12:51:02,12:58:13,00:07:11
2017-03-06,CR2373496,4015.0,617-592-2307,AA0109,34570.0,0.0,PS,AGENT,ZOHARI,13:37:53,13:37:53,00:00:00
2017-03-06,CR2374246,11804.0,893-107-7760,AA0103,34571.0,2.0,PS,AGENT,SHLOMO,16:42:54,17:02:48,00:19:54
2017-03-03,CR2371358,4193.0,101-824-7809,AA0115,34572.0,2.0,PS,AGENT,YIFAT,11:44:45,11:54:42,00:09:57
2017-03-03,CR2370069,13657.0,617-004-7243,AA0110,34573.0,0.0,NW,AGENT,NO_SERVER,12:10:00,12:23:52,00:13:52
2017-03-01,CR2367546,1592.0,617-452-6384,AA0109,34578.0,1.0,PS,AGENT,DORIT,15:06:36,15:08:37,00:02:01
2017-02-28,CR2364438,1950.0,678-731-5913,AA0105,34580.0,0.0,NW,AGENT,AVNI,14:28:04,14:28:41,00:00:37
2017-02-28,CR2365383,4474.0,865-751-9494,AA0204,34581.0,2.0,PS,AGENT,MIKI,14:24:06,14:41:59,00:17:53
2017-02-27,CR2363462,2806.0,508-791-3193,AA0201,34584.0,2.0,PS,AGENT,AVNI,09:10:42,09:31:01,00:20:19
2017-02-27,CR2362129,11267.0,617-853-1807,AA0113,34585.0,1.0,PS,AGENT,SHARON,14:47:03,14:52:48,00:05:45
2017-02-24,CR2360714,76.0,293-545-7588,AA0104,34586.0,0.0,NW,AGENT,IDIT,11:49:21,11:55:21,00:06:00
2017-02-23,CR2357722,4541.0,401-778-6265,AA0115,34587.0,1.0,NW,AGENT,SHLOMO,10:35:26,10:49:20,00:13:54
2017-02-23,CR2358198,3463.0,212-616-8813,AA0106,34588.0,2.0,PS,AGENT,SHARON,14:58:09,15:14:29,00:16:20
