loan_id,funded_amount,funded_date,duration_years,duration_months,_10_yr_treasury_index_date_funded,interest_rate_percent,interest_rate,payments,total_past_payments,loan_balance,property_value,purpose,firstname,middlename,lastname,social,phone,title,employment_length,building_class_category,tax_class_at_present,building_class_at_present,address_1,address_2,zip_code,city,state,total_units,land_square_feet,gross_square_feet,tax_class_at_time_of_sale
LL0000076,790000.0,2012-04-27,20,240,1.96,3.359,0.03359,4524.65,92,373732.18,930250.0,boat,Devin,Knox,Walters,972-69-4236,542-843-5089,Vice President Global Field Services,6,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,171 SOUTH 9TH   STREET,9,10001,New York City,NY,1,0.0,0.0,2
LL0000151,1720000.0,2014-10-14,15,180,2.21,3.508,0.03508,12302.74,62,957230.24,1995250.0,boat,Rhett,Felix,Calderon,577-13-5838,625-614-0118,Senior program manager,10,04 TAX CLASS 1 CONDOS,1A,R3,1242 E 80TH ST,19,10104,New York City,NY,1,0.0,0.0,1
LL0000161,3720000.0,2014-06-07,15,180,2.6,3.896,0.03896,27322.92,66,1916687.35,3881700.0,boat,Jax,Sean,Richards,263-55-1721,255-592-5290,,1,04 TAX CLASS 1 CONDOS,1A,R3,1884 53RD STREET,2,10029,New York City,NY,1,0.0,0.0,1
LL0000175,1079000.0,2012-02-23,20,240,1.99,3.389,0.03389,6196.4,94,496538.75,1402450.0,boat,Nicholas,Jeremy,Priest,512-60-5121,757-337-7073,Vice presiden,17,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,79 EAGLE STREET,6,10010,New York City,NY,1,0.0,0.0,2
LL0000178,2028000.0,2016-04-01,20,240,1.79,3.188,0.03188,11439.05,45,1513242.57,2216500.0,boat,Riley,Matteo,Hoffman,271-64-4634,478-573-2416,Bank examiner,5,49 CONDO WAREHOUSES/FACTORY/INDUS,4,RW,34 NORTH 7TH   STREET,5,10172,New York City,NY,1,0.0,0.0,4
LL0000195,612000.0,2017-10-26,20,240,2.4609,3.86,0.0386,3663.61,26,516746.19,711850.0,boat,Arabella,Marley,Castro,474-50-8126,892-292-9784,Senior Director of Video Programming,3,07 RENTALS - WALKUP APARTMENTS,2A,C3,1586 PROSPECT PLACE,4,10026,New York City,NY,4,3194.0,3296.0,2
LL0000206,630000.0,2017-12-07,15,180,2.37,3.669,0.03669,4556.23,24,520650.57,667750.0,boat,Leonardo,Jasper,Burdick,626-46-8957,697-948-0097,Field CTO,1,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,221 KINGSLAND AVENUE,1,10023,New York City,NY,1,0.0,0.0,2
LL0000234,795000.0,2017-10-06,20,240,2.3589,3.758,0.03758,4716.77,26,672363.91,895850.0,boat,Henry,Jackson,Thao,981-33-3139,640-589-4719,vp of Sourcing and Supply Chain,11,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,221 KINGSLAND AVENUE,2,10028,New York City,NY,1,0.0,0.0,2
LL0000250,2004000.0,2019-10-12,15,180,1.76,3.058,0.03058,13895.23,2,1976209.55,2068050.0,boat,Amelia,Harper,Dickerson,861-62-0214,331-988-6536,Vice Presiden,5,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,221 KINGSLAND AVENUE,3,10013,New York City,NY,1,0.0,0.0,2
LL0000311,4752000.0,2019-09-20,20,240,1.74,3.135,0.03135,26676.78,3,4671969.67,4937150.0,boat,Sergio,Gideon,Benson,152-86-8191,817-743-2573,Sales manager,1,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,221 KINGSLAND AVENUE,4,10199,New York City,NY,1,0.0,0.0,2
LL0000319,1790000.0,2018-12-11,20,240,2.89,4.288,0.04288,11120.61,12,1656552.66,1869300.0,boat,Martin,Prince,Willey,385-00-3598,964-655-0840,Trading manager,11,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,221 KINGSLAND AVENUE,5,10121,New York City,NY,1,0.0,0.0,2
