client_id,sex,fulldate,day_,month_,year_,date_,age,social,first_,middle,last_,phone,email,address_1,address_2,city,state,zipcode,district_id
C00000001,Female,1990-12-13,13,12,1990,1990-12-13,29,926-93-2157,Emma,Avaya,Smith,367-171-6840,emma.smith@gmail.com,387 Wellington Ave.,Unit 1,Albuquerque,NM,47246,18
C00000002,Male,1965-02-04,4,2,1965,1965-02-04,54,806-94-5725,Noah,Everest,Thompson,212-423-7734,noah.thompson@gmail.com,75 W. Berkshire St.,,New York City,NY,10040,1
C00000003,Female,1960-10-09,9,10,1960,1960-10-09,59,614-70-9100,Olivia,Brooklynne,Johnson,212-425-6932,olivia.johnson@outlook.com,36 Second St.,,New York City,NY,10162,1
C00000004,Male,1976-12-01,1,12,1976,1976-12-01,43,580-20-3414,Liam,Irvin,White,951-567-8925,liam.white@gmail.com,7607 Sunnyslope Street,,Indianapolis,IN,49047,5
C00000005,Female,1980-07-03,3,7,1980,1980-07-03,39,536-14-5809,Sophia,Danae,Williams,428-265-1568,sophia.williams@gmail.com,755 Galvin Street,,Indianapolis,IN,40852,5
C00000006,Male,1939-09-22,22,9,1939,1939-09-22,80,430-17-5825,Mason,Javen,Lopez,813-629-5038,mason.lopez7@gmail.com,8266 Arnold Drive,Unit 6,Portland,OR,44987,12
C00000007,Male,1949-01-25,25,1,1949,1949-01-25,71,305-80-4254,Jacob,Khai,Lee,836-845-8120,jacob.lee7@gmail.com,827 N. Green Lake Court,,Louisville,KY,44359,15
C00000008,Female,1958-02-21,21,2,1958,1958-02-21,61,425-96-6358,Ava,Eliora,Brown,413-444-9280,ava.brown8@gmail.com,817 Joy Ridge Dr.,,Springfield,MA,1101,51
C00000009,Male,1955-10-16,16,10,1955,1955-10-16,64,832-31-7252,William,Marek,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com,68 Carriage Road,,Lynn,MA,1901,60
C00000010,Male,1963-05-01,1,5,1963,1963-05-01,56,295-22-6122,Ethan,Veer,Harris,508-902-5510,ethan.harris9@gmail.com,754 Grandrose St.,,New Bedford,MA,2740,57
C00000011,Female,1970-08-22,22,8,1970,1970-08-22,49,666-36-2990,Isabella,Haidyn,Jones,508-688-6461,isabella.jones@hotmail.com,873 Randall Mill Dr.,,New Bedford,MA,2741,57
C00000012,Male,2001-02-20,20,2,2001,2001-02-20,18,771-44-3992,James,Amauri,Clark,431-869-3807,james.clark9@gmail.com,275 Fairground Drive,,Fargo,ND,42009,40
C00000013,Female,1994-05-29,29,5,1994,1994-05-29,25,618-33-8801,Mia,Hawa,Miller,840-168-6970,mia.miller@gmail.com,7429 Linden Drive,,Houston,TX,47052,54
C00000014,Female,1962-06-22,22,6,1962,1962-06-22,57,806-78-2944,Abigail,Inaaya,Davis,914-018-0811,abigail.davis5@gmail.com,708 Oak Valley St.,,Yonkers,NY,10701,76
C00000015,Female,1938-08-28,28,8,1938,1938-08-28,81,711-78-2371,Emily,Joann,Garcia,556-415-7930,emily.garcia43@outlook.com,30 Brown St.,,Omaha,NE,49180,21
C00000016,Male,1939-02-25,25,2,1939,1939-02-25,80,923-11-6562,Alexander,Bronx,Lewis,760-882-7015,alexander.lewis3@gmail.com,734 Bay Meadows Street,Unit 80,Omaha,NE,41275,21
C00000017,Male,1954-10-13,13,10,1954,1954-10-13,65,800-28-6783,Michael,Clifton,Robinson,914-238-1020,michael.robinson2@gmail.com,907 Green Lake Court,,Yonkers,NY,10702,76
